Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"11033-1","Classic","Miscellaneous",2023,"Creative Fantasy Universe",,1800,79.99,89.99,119.99,89.99,5702017434063,673419379311,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,48.7800,,"01/03/2023","31/12/2025"
"11959-1","Miscellaneous","Book Parts",2023,"Build Your Own LEGO Escape Room parts",,49,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"11974-1","Creator","Magazine Gift",2023,"Polar Bear",,56,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.5900,,"",""
"11975-1","Creator","Magazine Gift",2023,"Tractor",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9400,,"",""
"11976-1","Creator","Magazine Gift",2023,"Space Shuttle",,45,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.0200,,"",""
"11977-1","Creator","Magazine Gift",2023,"Hammerhead Shark",,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.2900,,"",""
"11978-1","Creator","Magazine Gift",2023,"Viking Ship",,48,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.7700,,"",""
"21060-1","Architecture","Landmark Series",2023,"Himeji Castle",,2125,139.99,159.99,209.99,159.99,5702017417721,673419374040,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,129.2800,,"01/08/2023","31/12/2025"
"21240-1","Minecraft","Minifig-scale",2023,"The Swamp Adventure",2,65,8.99,9.99,13.99,9.99,5702017415154,673419374767,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,8.4800,5.2800,"01/01/2023","31/12/2024"
"21241-1","Minecraft","Minifig-scale",2023,"The Bee Cottage",2,254,17.99,24.99,32.99,19.99,5702017415161,673419374774,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.0400,10.8100,"01/01/2023","31/12/2024"
"21242-1","Minecraft","Minifig-scale",2023,"The End Arena",3,252,19.99,24.99,32.99,24.99,5702017415673,673419374781,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,18.7000,,"01/01/2023","31/12/2024"
"21243-1","Minecraft","Minifig-scale",2023,"The Frozen Peaks",3,304,29.99,34.99,44.99,34.99,5702017399461,673419371865,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,24.9900,,"01/01/2023","31/12/2024"
"21244-1","Minecraft","Minifig-scale",2023,"The Sword Outpost",5,427,39.99,44.99,59.99,44.99,5702017415796,673419374798,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,38.2200,,"01/01/2023","31/12/2024"
